what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457907098720
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1457907104351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907112227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907117219
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457907118239
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457907131883
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457907137583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907139652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907143407
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1457907143814
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457907146048
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457907147273
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457907151639
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457907161978
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1001020, /cygdrive/h/DSD/T8_DMA/software/mem/mem.elf] return code: 4, 'other error'",1457907167028
error,log,,,"Downloading ELF Process failed",1457907167033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907167055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907168253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907170078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907173806
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457907173833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907202472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907256848
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457907257980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907259428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907259832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907260134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907260605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907262374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907263445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907264731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907269907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907271138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907328756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907332423
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907335850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907338512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907355705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907605995
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907609713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907611809
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1457907612195
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457907614332
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457907615615
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1001020, /cygdrive/h/DSD/T8_DMA/software/mem/mem.elf] return code: 4, 'other error'",1457907620698
error,log,,,"Downloading ELF Process failed",1457907620702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907620722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907621712
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907622386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907626864
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457907628042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907630760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907632464
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1457907632878
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457907635195
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457907637959
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x1001020] return code: 4, 'other error'",1457907638842
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1001020, /cygdrive/h/DSD/T8_DMA/software/mem/mem.elf] return code: 4, 'other error'",1457907642416
error,log,,,"Downloading ELF Process failed",1457907642421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907642441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907643241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907646378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907652617
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457907652631
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907654547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907656372
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1457907656779
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457907658872
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457907660197
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457907664575
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457907687387
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1457907689662
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457907693100
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457907695309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907698322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457907702242
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1457907702629
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457907704726
