what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457960024299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457960026095
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457960029128
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1457960059803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457960086669
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457960095096
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457960097329
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x1001020] return code: 4, 'other error'",1457960098207
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1001020, /cygdrive/h/DSD/T8_DMA/software/mem/mem.elf] return code: 4, 'other error'",1457960101898
error,log,,,"Downloading ELF Process failed",1457960101904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457960101925
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457960102627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457960103820
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457960109237
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457960109256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457960110785
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1457960144655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457960156207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457960158217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457960161069
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457960181164
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457960183412
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x1001020] return code: 4, 'other error'",1457960184308
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1001020, /cygdrive/h/DSD/T8_DMA/software/mem/mem.elf] return code: 4, 'other error'",1457960187944
error,log,,,"Downloading ELF Process failed",1457960187953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457960187971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457960188838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457960190577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457960198078
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457960198095
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457960199989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457960231452
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1457960232458
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457960268648
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457960270970
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x1001020] return code: 4, 'other error'",1457960271865
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1001020, /cygdrive/h/DSD/T8_DMA/software/mem/mem.elf] return code: 4, 'other error'",1457960275476
error,log,,,"Downloading ELF Process failed",1457960275482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457960275503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457960276458
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457960278911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457960280536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457960281196
