what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x1001020] return code: 4, 'other error'",1457890400646
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1001020, /cygdrive/h/DSD/T8_DMA/software/memread_test/memread_test.elf] return code: 4, 'other error'",1457890404214
error,log,,,"Downloading ELF Process failed",1457890404220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457890404245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457890404968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457890410932
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457890416416
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457890417482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457890419537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457890421527
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1457890421978
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457890424116
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457890425377
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457890429749
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457890436501
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1457890445996
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1457890493377
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1457890499225
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457890500643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457890502009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457890502476
