what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1457979110031
java.specification.name,sysinfo,,,"Java Platform API Specification",1457979110031
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1457979110031
java.specification.version,sysinfo,,,"1.6",1457979110031
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1457979110031
java.version,sysinfo,,,"1.6.0_23",1457979110031
java.vm.info,sysinfo,,,"mixed mode",1457979110031
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1457979110031
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1457979110031
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1457979110031
java.vm.specification.version,sysinfo,,,"1.0",1457979110031
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1457979110031
java.vm.version,sysinfo,,,"19.0-b09",1457979110031
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1457979110216
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457979111148
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1457979114611
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1457979114745
error,log,,,"Cannot add P/mem_bsp to the list of segments in P/mem_bsp::P/mem:: as a parent.",1457979115263
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979126818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979127688
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1457979127743
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979127775
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1457979128187
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1457979128187
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1457979128188
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1457979136543
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1457979136543
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1457979136544
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1457979136544
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1457979136544
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1457979136545
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1457979136545
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1457979136545
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1457979136545
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1457979136546
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1457979136546
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1457979136547
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1457979136547
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1457979136547
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1457979136547
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1457979136548
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1457979136548
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1457979136549
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1457979136549
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1457979136549
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1457979136550
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1457979136550
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1457979136550
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1457979136551
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1457979136551
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1457979136551
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1457979136552
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1457979136552
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1457979136553
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1457979136553
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1457979136554
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1457979136554
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1457979136555
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1457979136555
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1457979136555
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1457979136555
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1457979136556
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1457979136556
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1457979136556
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1457979136557
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1457979136557
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1457979136558
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1457979136558
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1457979136558
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1457979136559
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1457979136559
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1457979136559
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1457979136560
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1457979136560
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1457979136560
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1457979136561
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1457979136561
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1457979136561
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1457979136562
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1457979136562
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1457979136563
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1457979136563
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1457979136564
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1457979136564
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1457979136564
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1457979136565
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1457979136565
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1457979136565
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1457979136566
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1457979136566
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1457979136567
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1457979136567
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1457979136567
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1457979136568
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1457979136568
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1457979136568
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1457979136569
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1457979136569
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1457979136570
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1457979136570
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1457979136571
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1457979136571
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1457979136571
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1457979136572
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1457979136572
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1457979136573
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1457979136573
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1457979136573
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1457979136574
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1457979136574
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1457979136575
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1457979136575
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1457979136575
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1457979136576
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1457979136576
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1457979136577
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1457979136577
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1457979136577
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1457979136577
os,sysinfo,,,"win32",1457979136579
arch,sysinfo,,,"x86",1457979136579
ws,sysinfo,,,"win32",1457979136579
locale,sysinfo,,,"en_GB",1457979136579
processors,sysinfo,,,"8",1457979136579
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1457979136579
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1457979136579
java.specification.name,sysinfo,,,"Java Platform API Specification",1457979136579
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1457979136579
java.specification.version,sysinfo,,,"1.6",1457979136579
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1457979136579
java.version,sysinfo,,,"1.6.0_23",1457979136579
java.vm.info,sysinfo,,,"mixed mode",1457979136579
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1457979136579
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1457979136579
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1457979136579
java.vm.specification.version,sysinfo,,,"1.0",1457979136579
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1457979136579
java.vm.version,sysinfo,,,"19.0-b09",1457979136579
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1457979136715
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457979136777
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1457979137281
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1457979138428
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1457979138459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979139744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979139997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979145514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979145957
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1457979146506
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1457979146510
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1457979146511
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1457979146512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979146534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979146899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979149705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979150272
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979152192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979153207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979160039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979204602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979206705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979345103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979349861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979355572
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1457979385182
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1457979385184
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979388032
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1457979431754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979447211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979447226
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979451337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979462080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979495485
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1457979501876
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1457979505038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979505163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979505186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979509138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979515715
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1457979515731
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457979554455
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1457979554895
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1457979554909
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x1001020] return code: 4, 'other error'",1457979558272
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1001020, --reset-target, /cygdrive/h/DSD/T8_DMA/software/mem/mem.elf] return code: 4, 'other error'",1457979561443
error,log,,,"Downloading ELF Process failed",1457979561451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979561490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979562610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979564717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979572893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979574965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979608650
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1457979609879
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457979644101
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457979645330
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1001020, --reset-target, /cygdrive/h/DSD/T8_DMA/software/mem/mem.elf] return code: 4, 'other error'",1457979649417
error,log,,,"Downloading ELF Process failed",1457979649421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979649437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457979656317
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1457979658401
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1457979658416
