what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1457893873273
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1457893873274
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1457893873275
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1457893873276
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1457893873277
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1457893873278
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1457893873278
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1457893873278
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1457893873279
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1457893873279
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1457893873280
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1457893873280
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1457893873281
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1457893873281
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1457893873282
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1457893873282
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1457893873283
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1457893873284
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1457893873285
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1457893873285
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1457893873285
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1457893873286
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1457893873286
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1457893873286
os,sysinfo,,,"win32",1457893873288
arch,sysinfo,,,"x86",1457893873288
ws,sysinfo,,,"win32",1457893873288
locale,sysinfo,,,"en_GB",1457893873288
processors,sysinfo,,,"8",1457893873288
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1457893873288
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1457893873288
java.specification.name,sysinfo,,,"Java Platform API Specification",1457893873288
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1457893873288
java.specification.version,sysinfo,,,"1.6",1457893873288
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1457893873288
java.version,sysinfo,,,"1.6.0_23",1457893873288
java.vm.info,sysinfo,,,"mixed mode",1457893873288
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1457893873288
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1457893873288
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1457893873288
java.vm.specification.version,sysinfo,,,"1.0",1457893873288
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1457893873288
java.vm.version,sysinfo,,,"19.0-b09",1457893873288
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1457893873697
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457893874190
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1457893876277
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1457893876340
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1457893878096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457893878510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457893879502
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1457893879554
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1457893879569
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1457893879570
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1457893879570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457893879597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457893879912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457893881567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457893883094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457893896264
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457893910604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457893912147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457893929435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457893935969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457893937069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457893942578
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1457893981949
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457893997357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457893997431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457893998837
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1457894000343
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1457894000350
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457894002042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457894033424
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1457894040008
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1457894043504
