what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895427157
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895429567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895431222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895435924
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457895435950
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457895436934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895438544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895442178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895442713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895445040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895450083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895451939
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1457895452419
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457895455060
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457895456300
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457895460821
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457895466662
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1001020, /cygdrive/h/DSD/T8_DMA/software/mem/mem.elf] return code: 4, 'other error'",1457895471751
error,log,,,"Downloading ELF Process failed",1457895471757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895471776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895474026
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457895474960
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1457895478026
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457895480096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895485824
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895489780
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1457895490310
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457895493808
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457895496021
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x1001020] return code: 4, 'other error'",1457895496918
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1001020, /cygdrive/h/DSD/T8_DMA/software/mem/mem.elf] return code: 4, 'other error'",1457895500592
error,log,,,"Downloading ELF Process failed",1457895500601
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895500624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895501632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895505282
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895511474
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457895512612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895515463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895517315
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1457895517861
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457895520316
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457895521539
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457895525935
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457895532647
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x1001020] return code: 4, 'other error'",1457895533553
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1001020, /cygdrive/h/DSD/T8_DMA/software/mem/mem.elf] return code: 4, 'other error'",1457895537151
error,log,,,"Downloading ELF Process failed",1457895537156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895537175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895538598
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457895543764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895546798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895548557
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1457895548971
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457895552445
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457895554692
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x1001020] return code: 4, 'other error'",1457895555590
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1001020, /cygdrive/h/DSD/T8_DMA/software/mem/mem.elf] return code: 4, 'other error'",1457895559148
error,log,,,"Downloading ELF Process failed",1457895559153
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895559179
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895561269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895565887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895570119
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457895570125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895571942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895573775
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1457895574174
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457895576749
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457895578009
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457895582229
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457895588815
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457895593315
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457895640949
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457895640983
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457895640983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895643192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895785855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457895988158
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457895992543
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457895992811
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457895992930
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1457896001247
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1457896002147
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1457896002536
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457896004176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457896008066
