what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457985557247
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457985562731
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1457985563416
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457985564202
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1457985565167
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1457985565677
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457985567124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457985568481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457985583236
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1457985583622
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1457985584392
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1457985585209
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457985585720
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1457985588622
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457985594803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457985596243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457985701569
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457985701597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457985707577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457985749720
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1457985760476
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1457985777434
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457985779615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457985782789
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457985783491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457985784048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457985787249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457985789340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457985821260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457985822319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457985850538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457985904117
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457985946506
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457985946532
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1457985951838
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1457985954463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1457985957730
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457985959253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457985961106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457986067201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457986069116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457986096088
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457986101959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457986102593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457986104559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457986141782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457986143116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457986151582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457986151848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457986152799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457986154006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457986159106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457986160119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457986161210
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457986161875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457986163910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457986180940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457986184767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457986186144
