what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457899651045
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457899659877
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457899664288
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457899702865
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1457899717343
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1457899913743
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1457899917442
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1457899919754
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1457899921087
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1457899925597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1457899931144
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457899932951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457899934502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457899934829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457899935361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457899937834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457899939743
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457899939913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457899941861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457899943502
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457899943515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457899946889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457899949355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457899951622
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457899952439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457899955470
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457899961966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457899961995
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457899962010
