what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457904906445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457904908317
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1457904908746
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457904910894
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457904913119
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x1001020] return code: 4, 'other error'",1457904914003
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1001020, /cygdrive/h/DSD/T8_DMA/software/mem/mem.elf] return code: 4, 'other error'",1457904917590
error,log,,,"Downloading ELF Process failed",1457904917595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457904917614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457904918888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457904920859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457904926273
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457904926290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457904927694
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457904927889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457904928423
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457904928647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457904931635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457904935068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457904935624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457904939501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457904951967
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457904953697
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1457904954100
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457904956260
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457904957483
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457904961970
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457904998069
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1457905041780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1457905043449
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1457905045661
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457905050246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905051976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905052380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905052689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905056382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905059700
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905066235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905067767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905071697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905071973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905075882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905080650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905082331
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1457905082724
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457905084764
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457905087001
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x1001020] return code: 4, 'other error'",1457905087893
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1001020, /cygdrive/h/DSD/T8_DMA/software/mem/mem.elf] return code: 4, 'other error'",1457905091500
error,log,,,"Downloading ELF Process failed",1457905091505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905091525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905092450
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905095220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905100323
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457905100339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905103908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905105658
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1457905106053
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457905108192
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457905109459
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457905113818
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457905181412
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457905185844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905262926
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905401342
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457905402544
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905404142
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905689060
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457905690465
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457905694844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905698938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905699613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905700722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905700732
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905704160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905705033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905708407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905708767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905709028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905717038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905720447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905722089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905725132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457905742718
